player_id,positive_drivers,negative_drivers
86202,seasons of top-5 history (+0.258); 3-season average minutes (+0.170); height (+0.163); league context (+0.150); league minutes (+0.135),age (-0.794); goal contributions per 90 (-0.199); goals per 90 (-0.069); position: Midfield (-0.038); 3-season average output (-0.031)
86784,seasons of top-5 history (+0.304); 3-season average minutes (+0.129); disciplinary record (+0.107); minutes last season (+0.083); minutes consistency (+0.034),age (-0.900); league minutes (-0.235); goal contributions per 90 (-0.211); club squad rotation (-0.180); height (-0.115)
88755,goal contributions per 90 (+0.441); league context (+0.351); 3-season average output (+0.335); contributions/90 last season (+0.224); seasons of top-5 history (+0.182),age (-1.428); minutes per appearance (-0.063); minutes last season (-0.046); height (-0.045); league minutes (-0.040)
91059,goal contributions per 90 (+0.380); seasons of top-5 history (+0.161); assists per 90 (+0.068); minutes last season (+0.065); 3-season average minutes (+0.058),age (-1.138); gap since last season (-0.266); league context (-0.244); minutes per appearance (-0.101); club squad rotation (-0.072)
91845,goal contributions per 90 (+0.604); 3-season average output (+0.330); league context (+0.317); contributions/90 last season (+0.168); assists per 90 (+0.150),age (-1.080); club squad rotation (-0.048); minutes per appearance (-0.046); height (-0.044); position: Midfield (-0.031)
93604,seasons of top-5 history (+0.188); position: Defender (+0.049); goals per 90 (+0.033); 3-season average minutes (+0.029); gap since last season (+0.024),age (-1.079); league context (-0.254); height (-0.076); minutes per appearance (-0.069); disciplinary record (-0.048)
93707,seasons of top-5 history (+0.158); league minutes (+0.155); 3-season average minutes (+0.079); position: Defender (+0.064); minutes per appearance (+0.046),age (-0.924); league context (-0.316); minutes consistency (-0.080); height (-0.052); minutes last season (-0.044)
93720,goal contributions per 90 (+0.736); 3-season average output (+0.279); seasons of top-5 history (+0.201); contributions/90 last season (+0.161); 3-season average minutes (+0.073),age (-1.427); league context (-0.147); minutes per appearance (-0.055); position: Defender (-0.030); position: Midfield (-0.027)
93740,seasons of top-5 history (+0.195); league minutes (+0.129); minutes per appearance (+0.100); 3-season average minutes (+0.084); goals per 90 (+0.054),age (-1.056); league context (-0.234); minutes consistency (-0.073); disciplinary record (-0.049); 3-season average output (-0.040)
93844,seasons of top-5 history (+0.166); position: Midfield (+0.117); height (+0.083); club squad rotation (+0.047); gap since last season (+0.027),league context (-0.386); age (-0.356); league minutes (-0.296); minutes per appearance (-0.291); 3-season average minutes (-0.042)
93936,seasons of top-5 history (+0.382); league context (+0.125); league minutes (+0.124); goal contributions per 90 (+0.106); 3-season average output (+0.061),age (-1.744); 3-season average minutes (-0.058); position: Defender (-0.057); minutes last season (-0.048); minutes per appearance (-0.038)
94005,seasons of top-5 history (+0.298); minutes per appearance (+0.085); minutes last season (+0.081); 3-season average minutes (+0.044); change in goals/90 (+0.036),age (-0.708); club squad rotation (-0.211); goal contributions per 90 (-0.145); goals per 90 (-0.090); league context (-0.065)
94192,height (+0.148); minutes per appearance (+0.050); gap since last season (+0.030); minutes consistency (+0.016); appearances (+0.015),age (-0.631); league context (-0.228); goal contributions per 90 (-0.200); goals per 90 (-0.073); minutes last season (-0.070)
94308,league minutes (+0.304); league context (+0.203); seasons of top-5 history (+0.200); height (+0.149); disciplinary record (+0.131),age (-1.043); goal contributions per 90 (-0.168); minutes consistency (-0.122); 3-season average output (-0.050); goals per 90 (-0.044)
94529,goal contributions per 90 (+0.450); seasons of top-5 history (+0.221); 3-season average output (+0.106); assists per 90 (+0.085); gap since last season (+0.028),age (-0.875); league minutes (-0.229); minutes per appearance (-0.213); position: Midfield (-0.059); position: Defender (-0.054)
95424,league context (+0.369); seasons of top-5 history (+0.310); minutes last season (+0.084); 3-season average minutes (+0.044); club squad rotation (+0.033),age (-1.702); goal contributions per 90 (-0.194); league minutes (-0.144); height (-0.100); 3-season average output (-0.046)
95641,seasons of top-5 history (+0.176); league context (+0.103); position: Midfield (+0.096); club squad rotation (+0.030); goals/90 last season (+0.008),age (-1.086); gap since last season (-0.212); league minutes (-0.174); minutes per appearance (-0.110); height (-0.066)
95810,league context (+0.302); seasons of top-5 history (+0.140); 3-season average minutes (+0.091); minutes last season (+0.089); assists/90 last season (+0.088),age (-1.502); league minutes (-0.166); minutes consistency (-0.149); minutes per appearance (-0.061); goals per 90 (-0.053)
96341,goal contributions per 90 (+0.528); league minutes (+0.190); 3-season average output (+0.135); seasons of top-5 history (+0.128); league context (+0.082),age (-0.814); minutes consistency (-0.058); position: Midfield (-0.047); position: Defender (-0.046); assists/90 last season (-0.016)
96718,seasons of top-5 history (+0.410); league context (+0.147); minutes last season (+0.077); assists per 90 (+0.076); 3-season average output (+0.071),age (-1.913); league minutes (-0.108); height (-0.097); minutes per appearance (-0.066); goals per 90 (-0.047)
99331,league context (+0.291); height (+0.259); seasons of top-5 history (+0.189); minutes last season (+0.074); 3-season average minutes (+0.036),age (-1.054); gap since last season (-0.440); league minutes (-0.220); goal contributions per 90 (-0.210); 3-season average output (-0.073)
99922,seasons of top-5 history (+0.311); minutes per appearance (+0.125); league minutes (+0.099); goals per 90 (+0.036); 3-season average minutes (+0.032),age (-1.540); gap since last season (-0.330); club squad rotation (-0.136); goal contributions per 90 (-0.084); 3-season average output (-0.037)
100986,seasons of top-5 history (+0.162); 3-season average output (+0.079); height (+0.066); position: Defender (+0.047); output consistency (+0.026),age (-1.190); gap since last season (-0.331); league context (-0.261); goal contributions per 90 (-0.140); club squad rotation (-0.088)
102423,league minutes (+0.208); league context (+0.182); seasons of top-5 history (+0.177); 3-season average minutes (+0.169); height (+0.126),age (-1.583); gap since last season (-0.274); goal contributions per 90 (-0.048); 3-season average output (-0.048); position: Midfield (-0.036)
103565,seasons of top-5 history (+0.419); club squad rotation (+0.135); 3-season average output (+0.072); output consistency (+0.024); gap since last season (+0.019),age (-1.264); league minutes (-0.202); minutes per appearance (-0.138); minutes last season (-0.067); league context (-0.066)
105470,league context (+0.315); league minutes (+0.208); height (+0.170); seasons of top-5 history (+0.125); disciplinary record (+0.123),age (-0.908); goal contributions per 90 (-0.171); goals per 90 (-0.068); 3-season average output (-0.044); position: Midfield (-0.031)
106405,seasons of top-5 history (+0.207); league minutes (+0.191); 3-season average minutes (+0.111); minutes per appearance (+0.093); height (+0.074),age (-1.498); league context (-0.237); goal contributions per 90 (-0.082); disciplinary record (-0.061); goals per 90 (-0.045)
