player_id,name,season,position,league,club_name,age,minutes,games,goal_contributions_per90,market_value_eur,log_market_value,calib_resid_all,exit_prob,exit,next_minutes,pred_eur,mispricing_ratio,exit_prob_challenger
691892,Nathaniel Brown,2024,Defender,Germany - Bundesliga,Eintracht Frankfurt,21.54688569472964,1952,26,0.4610655737704918,22000000.0,16.90655301132259,-0.009972165108349085,0.10157907369676882,0,2658.0,21202713.591667276,0.9637597087121489,0.15953929138706413
692737,Aljoscha Kemlein,2024,Midfield,Germany - Bundesliga,1.FC Union Berlin,20.41615331964408,924,15,0.0974025974025974,7000000.0,15.761420707019589,0.457491019127104,0.4071706019421536,0,1968.0,4536059.464180508,0.6480084948829297,0.4257098476294969
693095,Jacob Greaves,2024,Defender,England - Premier League,Ipswich Town,24.303901437371664,2205,25,0.0408163265306122,18000000.0,16.70588231586044,0.2274320249068622,0.20672924726238628,1,0.0,14013221.248404609,0.7785122915780338,0.16789660668452483
694509,Moussa Diarra,2024,Defender,Spain - LaLiga,Deportivo Alavés,24.142368240930868,1863,26,0.0,1800000.0,14.403297222866392,-1.178460227064706,0.544984052045367,1,219.0,5937263.643931182,3.29847980218399,0.636736039767183
694928,Samuel Lino,2024,Attack,Spain - LaLiga,Atlético de Madrid,25.026694045174537,1560,31,0.4038461538461538,22000000.0,16.90655301132259,0.35389146281095085,0.21055434903637324,1,0.0,15035304.093129214,0.6834229133240551,0.25941417870977745
696164,Tim Oermann,2024,Defender,Germany - Bundesliga,VfL Bochum,21.240246406570844,2217,29,0.081190798376184,5000000.0,15.424948470398377,-0.814684760590068,0.2620041436964395,1,16.0,11164755.723259516,2.2329511446519033,0.3024690985666816
698259,Thomas Kristensen,2024,Defender,Italy - Serie A,Udinese Calcio,22.95687885010267,1753,24,0.0513405590416429,6000000.0,15.60727002719233,-0.16053978599169616,0.28895680674872953,0,2475.0,7104156.356110045,1.184026059351674,0.31361929938164107
701057,Rico Lewis,2024,Defender,England - Premier League,Manchester City,20.112251882272417,1893,28,0.1426307448494453,40000000.0,17.50439001207821,0.734820114131133,0.14481278944313017,1,402.0,18459773.662099194,0.46149434155247987,0.11791849099116285
701819,Daniele Ghilardi,2024,Defender,Italy - Serie A,Hellas Verona,21.987679671457904,2030,24,0.0,5000000.0,15.424948470398377,-0.26432283517662514,0.28715581779973903,0,1086.0,6586469.60367065,1.31729392073413,0.3188842051318195
702441,Sinaly Diomandé,2024,Defender,France - Ligue 1,AJ Auxerre,23.731690622861056,1945,23,0.2313624678663239,5000000.0,15.424948470398377,-0.4131619993499873,0.25496914095890727,0,2134.0,7601201.169595966,1.5202402339191932,0.2567662549403486
705395,Gerard Martín,2024,Defender,Spain - LaLiga,FC Barcelona,22.847364818617383,1028,28,0.3501945525291828,12000000.0,16.300417207752275,0.9671272287429535,0.28729294118035625,0,2122.0,4667284.381895593,0.3889403651579661,0.392017646712878
706024,Marko Ivezic,2024,Defender,Germany - Bundesliga,Holstein Kiel,23.082819986310746,1655,23,0.0,2000000.0,14.50865773852422,-0.8934544319343618,0.5345054560396623,1,0.0,4989624.417568711,2.494812208784355,0.5341007165789542
707242,Badredine Bouanani,2024,Attack,France - Ligue 1,OGC Nice,20.06570841889117,1094,26,0.4936014625228519,7000000.0,15.761420707019589,0.17875871011887323,0.3937315458747471,1,551.0,5942454.9131245855,0.8489221304463693,0.44401760821947617
707274,César Tárrega,2024,Defender,Spain - LaLiga,Valencia CF,22.847364818617383,3027,34,0.0891972249752229,10000000.0,16.11809565095832,-0.394252536637103,0.10212464314731375,0,2596.0,14471347.689197011,1.4471347689197012,0.13716423071308254
707844,Mandela Keita,2024,Midfield,Italy - Serie A,Parma Calcio 1913,22.647501711156742,1828,30,0.0984682713347921,12000000.0,16.300417207752275,1.0590962965190425,0.2051637626322667,0,2994.0,4268181.364166824,0.35568178034723535,0.20745895166819017
708072,Nicolò Savona,2024,Defender,Italy - Serie A,Juventus FC,21.790554414784395,1727,28,0.1563404748118123,12000000.0,16.300417207752275,0.4271274894479875,0.2075524827709363,0,1026.0,7862557.05733117,0.6552130881109308,0.18354090268052733
